交易单号,交易时间,交易类型,收/支/其他,交易方式,金额(元),交易对方,商户单号
1800007591292109013211,,零钱通,其他,零钱通,4500.31,转入零钱通,07937822:13:591800007591210901
0118035616192403,,,,,,,
1800007591292109012764,,零钱通,其他,零钱通,10000.00,转入零钱通,95032620:57:041800007591210901
0118035162766403,,,,,,,
1000107101202109010173,,二维码收款,收入,零钱,2000.00,二维码收款收入零钱,688996754020:51:30
1000050001210901000531,,转账,支出,零钱,,转账支出零钱,1233088752140320:49:26
011603346831568,,,,,,,
1000050001210901000531,,转账,支出,零钱通,,转账支出零钱通,1253088157240320:45:22
010607228375575,,,,,,,
1000107101202109010147,,二维码收款,收入,零钱,5000.00,二维码收款收入零钱,746448351920:42:37
1000050001202109011705,,转账,收入,未知,2000.00,转账收入,20980655420:37:29
1000107101202109010189,,二维码收款,收入,零钱,2000.00,二维码收款收入零钱,174377456120:30:24
1000107101202109010145,,二维码收款,收入,零钱,3000.00,二维码收款收入零钱,621342054420:30:16
1000049901202109010135,,二维码收款,收入,零钱,,二维码收款收入零钱,773724152820:28:32NG
1000049901202109010107,,二维码收款,收入,零钱,3000.00,二维码收款收入零钱,992573454620:22:42
1000039801000109017284,,微信红包,收入,未知,0.31,微信红包收入,49165304620:06:19
017284491653046,,,,,,,
1000039801210901000531,,微信红包,支出,零钱通,,微信红包,1201304873240320:06:16
017284491653046,,,,,,,
4200001234202109016997,,商户消费,支出,零钱通,,商户消费支出零钱通,83371218:35:42
1000049901210901000591,,零钱通,支出,零钱通,,扫二维码付,1210687478140318:28:04
1000049901202109,,,,,,,
0100903129357108,,,,,,,
4200001147202109011811,,商户消费,支出,零钱通,,商户消费支出零钱通,65765616:33:29899699
4200001139202109017004,,商户消费,支出,零钱通,,商户消费支出零钱通,82338315:00:49XP1021090115200129522097003161
4200001203202109010316,,商户消费,支出,零钱通,,商户消费支出零钱通,00189814:47:51XP2321090114501687223153003471
4200001200202109017308,,商户消费,支出,零钱通,,商户消费支出零钱通,34307814:47:01XP1021090114501687207386001104
5000150947202109011206,,零钱通,收入,零钱通,,拼多多平台,546572914:46:36
4200001167202109018848,,商户消费,支出,零钱通,,商户消费支出零钱通,97395314:45:31XP2221090114200125263870003516
1800007591212109011364,,零钱通,其他,零钱通,18347.35,转入零钱通,30830200:41:141800007591210901
0218815277998403,,,,,,,
1000050001210901000531,,转账,支出,零钱,,转账支出零钱,1260874476540300:38:32
010403814322887,,,,,,,
1000050001210831000531,,转账,支出,零钱,,转账支出零钱,1200817858840322:05:01
310407993227991,,,,,,,
1000107101202108310082,,二维码收款,收入,零钱,10000.00,二维码收款收入零钱,009623417321:53:28
1000107101202108310028,,二维码收款,收入,零钱,,二维码收款收入零钱,433779705721:52:093706860293
1000049901202108310069,,二维码收款,收入,零钱,5000.00,二维码收款收入零钱,705335014921:46:02
1000049901202108310100,,二维码收款,收入,零钱,2000.00,二维码收款收入零钱,872764453321:28:18
1000039801005108316153,,微信红包,收入,未知,0.55,微信红包收入,45055910220:11:04
316153450559102,,,,,,,
1000039801007108316152,,微信红包,收入,未知,1.24,微信红包收入,02386406520:10:30
316152023864065,,,,,,,
1000039801006108316148,,微信红包,收入,未知,0.14,微信红包收入,26438810920:10:16
316148264388109,,,,,,,
1000039801003108317206,,微信红包,收入,未知,0.35,微信红包收入,23139908820:08:08
317206231399088,,,,,,,
1000039801210831000531,,微信红包,支出,零钱通,,微信红包,1212467789840320:08:05
317206231399088,,,,,,,
1000039801000108317241,,微信红包,收入,未知,0.78,微信红包收入,64406301820:07:52
317241644063018,,,,,,,
1000039801210831000531,,微信红包,支出,零钱通,,微信红包,1260737165240320:07:49
317241644063018,,,,,,,
1000039801001108317365,,微信红包,收入,未知,0.20,微信红包收入,66637804920:07:36
317365666378049,,,,,,,
1000039801210831000531,,微信红包,支出,零钱通,,微信红包,1222512034640320:07:32
317365666378049,,,,,,,
1000039801003108317114,,微信红包,收入,未知,1.19,微信红包收入,46462600920:07:07
317114464626009,,,,,,,
1000039801210831000531,,微信红包,支出,零钱通,,微信红包,1252496940940320:07:04
317114464626009,,,,,,,
1000039801001108317179,,微信红包,收入,未知,1.44,微信红包收入,10857006820:06:47
317179108570068,,,,,,,
1000039801210831000531,,微信红包,支出,零钱通,,微信红包,1232492887440320:06:44
317179108570068,,,,,,,
1000039801001108317307,,微信红包,收入,未知,0.16,微信红包收入,77660210920:06:28
317307776602109,,,,,,,
1000039801210831000531,,微信红包,支出,零钱通,,微信红包,1232492656140320:06:24
317307776602109,,,,,,,
1000107101210831000591,,零钱通,支出,零钱通,,扫二维码付,1219307657440317:21:17
1000107101202108,,,,,,,
3100328603169111,,,,,,,
1000050001202108310706,,转账,收入,零钱通,1000.00,转账,81314600716:26:32
1000050001210831000531,,转账,支出,零钱通,,转账支出零钱通,1200591520340316:26:21
310706813146007,,,,,,,
1000107101210831000591,,零钱通,支出,零钱通,,扫二维码付,1219138295140314:54:19
3100131435786150,,,,,,,
4200001218202108310189,,商户消费,支出,零钱通,,商户消费支出零钱通,59800214:53:45
0323210831536197,,,,,,,1100659
1000049901210831000591,,零钱通,支出,零钱通,,扫二维码付,1199076018740314:11:03
3100171979908145,,,,,,,
4200001142202108312018,,商户消费,支出,零钱,,商户消费支出零钱,01701913:48:36174318257712
1000049901210831000591,,零钱通,支出,零钱通,,扫二维码付,1255967467240311:53:19
3100365572500179,,,,,,,
4200001149202108317448,,商户消费,支出,零钱通,,商户消费支出零钱通,05874211:05:290831
4200001149202108318384,,商户消费,支出,零钱通,,商户消费支出零钱通,07217400:16:30
1000049901210830000591,,零钱通,支出,零钱通,,扫二维码付,1228404697440321:56:02
3000875722377182,,,,,,,
1000049901210830000591,,零钱通,支出,零钱通,,扫二维码付,1254982382440315:59:26
3000513516006199,,,,,,,
